loop,network,location,traffic,FlowID,SrcAddress,DestAddress,Start,Count
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.135,50
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.136,80
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.137,69
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.138,55
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.139,86
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.14,104
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.141,33
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.142,47
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.144,42
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.145,53
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.146,45
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.147,42
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.148,37
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.149,36
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.15,33
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.151,34
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.152,32
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.153,30
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.154,29
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.155,31
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.156,26
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.157,22
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.158,28
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.159,17
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.16,34
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.161,31
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.162,24
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.163,21
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.164,23
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.165,14
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.166,33
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.167,15
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.168,20
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.169,21
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.17,17
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.171,44
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.172,19
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.173,10
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.174,11
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.176,29
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.177,15
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.178,13
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.179,23
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.18,11
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.181,19
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.182,21
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.183,16
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.184,22
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.185,17
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.186,18
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.187,15
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.188,16
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.189,20
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.19,12
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,0.191,9
