loop,network,location,traffic,FlowID,SrcAddress,DestAddress,Protocol,LostPackets,TxPackets,TxBytes,RxPackets,RxBytes,TimeFirstRxPacket,TimeLastTxPacket,TimeLastRxPacket,Throughput,Goodput
4,private,loc1,Full,1,7.0.0.2,7.0.0.5,TCP,2825,136822,80435584,133997,78774484,1.054999999,659.594999999,659.609999999,122139.36046711956,119617.16789030528
4,private,loc1,Full,2,7.0.0.3,7.0.0.6,TCP,2956,141131,82974688,138175,81236912,1.972999999,734.654999999,734.669999999,113245.53537817107,110873.8155062734
4,private,loc1,Full,3,7.0.0.4,7.0.0.7,TCP,3111,178445,104919680,175334,103090412,2.332999999,799.555999999,799.570999999,131387.4973044421,129309.4558964826
4,private,loc1,Full,4,7.0.0.5,7.0.0.2,TCP,667,77885,4245204,77218,4208072,1.069999999,659.586999999,659.594999999,6446.465775391324,6390.147678523973
4,private,loc1,Full,5,7.0.0.6,7.0.0.3,TCP,853,79632,4326492,78779,4278584,1.987999999,734.642999999,734.654999999,5905.103252487476,5839.738926415411
4,private,loc1,Full,6,7.0.0.7,7.0.0.4,TCP,1303,99920,5401932,98617,5330360,2.347999999,799.541999999,799.555999999,6776.054961747797,6686.285135121573
4,private,loc1,Full,7,7.0.0.8,7.0.0.9,TCP,2834,235681,138567196,232847,136901336,4.171999999,799.579999999,799.594999999,173546.48930668295,172111.36213058964
4,private,loc1,Full,8,7.0.0.9,7.0.0.10,TCP,3702,222222,130657984,218520,128481740,4.288999999,799.620999999,799.635999999,163660.45850837356,161541.74215782544
4,private,loc1,Full,9,7.0.0.9,7.0.0.8,TCP,5027,131732,7108996,126705,6838456,4.186999999,799.566999999,799.579999999,8937.69259298839,8597.581321434813
4,private,loc1,Full,10,7.0.0.10,7.0.0.9,TCP,723,123789,6680904,123066,6641820,4.337999999,799.609999999,799.620999999,8400.261026679793,8351.517635860442
4,private,loc2,Full,1,7.0.0.2,7.0.0.5,TCP,2858,136336,80154396,133478,78473892,1.175999999,659.661999999,659.676999999,121722.43397168248,119170.49784282788
4,private,loc2,Full,2,7.0.0.3,7.0.0.6,TCP,3661,145863,85759220,142202,83606552,1.373999999,734.507999999,734.522999999,116973.7392299436,114037.59945113477
4,private,loc2,Full,3,7.0.0.4,7.0.0.7,TCP,3618,178156,104753652,174538,102626268,2.332999999,798.999999999,799.018999999,131343.83604826647,128816.45717384265
